run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,epochs,best_epoch,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,train_time
wider1_DiceLoss_lr0.002_wd1e-05_bs1,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,1e-05,1,50,48,0.18734373673796653,0.21489746682345867,0.2066655772924423,0.7554363012313843,0.718711256980896,0.730294942855835,6.76687479019165,18.667484283447266,13.929238319396973,18.03398374716441
wider1_DiceLoss_lr0.002_wd0.0001_bs1,wider1,DiceLoss,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",0.002,0.0001,1,50,49,0.2364644800312817,0.23869487643241882,0.23879026770591735,0.6814937591552734,0.691165566444397,0.692568838596344,10.753293991088867,12.49341106414795,17.899934768676758,17.646185938517252
wider2_DiceLoss_lr0.001_wd0.0_bs1,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0,1,50,42,0.16652657128870488,0.21920037381350993,0.20222303941845893,0.7591961622238159,0.7113891839981079,0.7343273758888245,7.17255163192749,12.951403617858887,13.172677993774414,23.332709002494813
wider2_DiceLoss_lr0.001_wd1e-05_bs1,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,1e-05,1,50,44,0.1843194818124175,0.2171670515090227,0.198968805372715,0.7533804178237915,0.7145019769668579,0.7396270036697388,10.968511581420898,10.43264389038086,10.364148139953613,23.301049971580504
wider2_DiceLoss_lr0.001_wd0.0001_bs1,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.001,0.0001,1,50,50,0.22996423179283737,0.2381955787539482,0.2277767327427864,0.6919602751731873,0.6917263269424438,0.705943763256073,13.07966136932373,13.862096786499023,13.984848976135254,23.182055711746216
wider2_DiceLoss_lr0.002_wd0.0_bs1,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.002,0.0,1,50,48,0.19166436465457082,0.22633124329149723,0.21090226203203202,0.7669991254806519,0.7016291618347168,0.722267746925354,6.161761283874512,11.091914176940918,10.10193157196045,23.121223664283757
wider2_DiceLoss_lr0.002_wd1e-05_bs1,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.002,1e-05,1,50,46,0.22124329544603824,0.24479187950491904,0.22799190491437912,0.7062767744064331,0.6783507466316223,0.7012040615081787,8.461626052856445,12.733419418334961,14.419565200805664,23.9810707171758
wider2_DiceLoss_lr0.002_wd0.0001_bs1,wider2,DiceLoss,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",0.002,0.0001,1,50,49,0.2791259540244937,0.2757042616605759,0.26556811660528185,0.6296594738960266,0.6404976844787598,0.6548904180526733,20.40584373474121,17.415958404541016,22.10318374633789,24.35801489750544
wide_DiceLoss_lr0.001_wd0.0_bs2,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,0.0,2,50,50,0.1882774628698826,0.22818601578474046,0.22879974007606507,0.7372586131095886,0.6938241720199585,0.6925956606864929,8.055513381958008,13.386941909790039,20.003097534179688,12.527233437697094
wide_DiceLoss_lr0.001_wd1e-05_bs2,wide,DiceLoss,"(16, 32, 64, 128, 256)","(2, 2, 2, 2)",0.001,1e-05,2,50,50,0.183990590646863,0.22565605193376542,0.20402658522129058,0.7617208361625671,0.6965722441673279,0.7265728712081909,7.147366523742676,12.17713451385498,10.177249908447266,12.377264205614726
