run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,dice_test,dice_train,dice_val,hd95_test,hd95_train,hd95_val,loss_test,loss_train,loss_val
shallow_DiceCELoss_lr0.001_wd0.0_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0,1,0.5663678050041199,0.5800685882568359,0.5609868764877319,40.997615814208984,35.31055450439453,36.38552474975586,0.4003834073245525,0.38798749521374704,0.41348803862929345
shallow_DiceCELoss_lr0.001_wd0.0_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0,2,0.4625375270843506,0.4668218493461609,0.44289112091064453,42.896453857421875,42.721473693847656,46.499507904052734,0.47339362680912017,0.47257926017045976,0.48846234530210497
shallow_DiceCELoss_lr0.001_wd0.0_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0,5,0.2715471684932709,0.27117031812667847,0.28993290662765503,46.23796844482422,52.583045959472656,46.50141906738281,0.5930593490600586,0.6103877797722816,0.5984206274151802
shallow_DiceCELoss_lr0.001_wd1e-05_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,1e-05,1,0.5637579560279846,0.5505113005638123,0.5524106621742249,37.523921966552734,34.74527359008789,39.961402893066406,0.39971289604902266,0.4068305790424347,0.4143342699855566
shallow_DiceCELoss_lr0.001_wd1e-05_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,1e-05,2,0.4865373373031616,0.4794618487358093,0.47841015458106995,40.23979949951172,41.798152923583984,39.11943817138672,0.4511698949337006,0.4525516927242279,0.45886397212743757
shallow_DiceCELoss_lr0.001_wd1e-05_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,1e-05,5,0.228153795003891,0.2514025568962097,0.2535645365715027,47.983673095703125,51.513038635253906,46.40249252319336,0.6267906665802002,0.6197025030851364,0.6185926645994186
shallow_DiceLoss_lr0.0001_wd0.0001_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0001,1,0.27191123366355896,0.2774110734462738,0.2795253098011017,54.19611358642578,57.76947784423828,55.76206588745117,0.583483231663704,0.5810431072488427,0.5806429170072078
shallow_DiceLoss_lr0.0001_wd0.0001_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0001,2,0.17321744561195374,0.19017234444618225,0.19847261905670166,53.419158935546875,55.269775390625,60.20952224731445,0.6975560641288757,0.7006442092359066,0.6931643962860108
shallow_DiceLoss_lr0.0001_wd0.0001_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0001,5,0.08125164359807968,0.08104320615530014,0.09660604596138,101.5395278930664,101.9164047241211,102.5782470703125,0.7716007471084595,0.7750048190355301,0.7697964385151863
shallow_DiceLoss_lr0.0001_wd0.0_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0,1,0.3139168322086334,0.32484883069992065,0.33102288842201233,46.516319274902344,38.621822357177734,38.15913772583008,0.5726623252034188,0.5718215489760041,0.566985547542572
shallow_DiceLoss_lr0.0001_wd0.0_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0,2,0.18282929062843323,0.19177672266960144,0.20778003334999084,52.861289978027344,49.178794860839844,49.11899185180664,0.6840152966976166,0.6905107155442238,0.6818665474653244
shallow_DiceLoss_lr0.0001_wd0.0_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0,5,0.13496465981006622,0.1357516646385193,0.1471223086118698,111.86631774902344,111.875244140625,113.2233657836914,0.768817463517189,0.7723648957908154,0.7681254372000694
shallow_DiceLoss_lr0.0001_wd1e-05_bs1,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,1e-05,1,0.2507888376712799,0.2592506408691406,0.2581098675727844,63.37131881713867,64.40345001220703,60.168907165527344,0.5887730264663696,0.589857729524374,0.5877163045108318
shallow_DiceLoss_lr0.0001_wd1e-05_bs2,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,1e-05,2,0.1692315638065338,0.18410786986351013,0.193180650472641,49.32842254638672,47.79951095581055,51.9008674621582,0.6883590257167816,0.6923847287893296,0.6838784366846085
shallow_DiceLoss_lr0.0001_wd1e-05_bs5,shallow,DiceLoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,1e-05,5,0.11146794259548187,0.10988757759332657,0.1261691153049469,79.30081176757812,80.2511215209961,84.1790771484375,0.7662248939275742,0.7711398229002953,0.7655635699629784
